osm_id,osm_name_street,osm_nodes
24266516,Mendiburu,12
24266526,General Córdova,13
24266528,Bernardo Alcedo,5
24266531,Torre Ugarte,6
24266535,Manuel Tovar,6
24266542,Joaquin Capelo,7
24266556,Toribio Pacheco,6
24266567,8 de Octubre,4
24266583,José Toríbio Polo,6
24266584,Contralmirante Villar,4
24266587,Ejercito,6
24266589,Federico Villareal,1
24266590,Federico Villareal,1
24266592,Federico Villareal,3
24266594,Espejo,4
24266595,Mariano Melgar,5
24266596,Belén,4
24266597,José Domingo Choquehuanca,5
24266598,Jorge Polar,4
24266599,Av. Perez Araníbar (ex Av. Del Ejército),32
24266605,Triana,2
24266606,Almirante Lord Nelson,2
24266621,Almirante Lord Nelson,2
24266625,Parque Mora,1
24266632,General José Quiñones,3
24266644,Angamos Oeste,8
24266674,Blas Cerdeña,7
24266686,Contralmirante Villar,1
24266688,Contralmirante Villar,1
24266695,Contralmirante Villar,2
24266700,7 de Junio,2
24266701,Berlin,1
24266702,José Pardo,2
24266709,Retiro,2
24266734,Miguel Dasso,2
24266736,Ulloa,3
24266743,Alvarez Calderon,11
24266749,Yerovi,3
24266751,Francisco Eguiguren,4
24266754,David Samanez,2
24266758,General Clemente,2
24266759,Manuel Gonzales Olaechea,1
24266771,Graña,3
24266773,Jacinto Lara,4
24266775,Alferez Alfredo Salazar,2
24266776,Santa Teresita,3
24266778,Santa Margarita,3
24266786,Belén,5
24266790,Perez Aranibar,44
24266810,Av. Del Ejercito,4
24266815,Romanet,4
24266855,Avenida Coronel Portillo,9
24266861,Pezet,13
24266868,Octavio Espinoza,1
24266871,Octavio Espinoza,3
24266874,Octavio Espinoza,3
24266876,OCTAVIO ESPINOZA,2
24266884,Francisco Valle Riesta,5
24266888,General La La Fuente,3
24266891,Manuel Marcos Salazar,4
24266898,Juan Dellepiani,10
24266916,Baltazar La Torre,4
24266954,Punta Negra,10
24266957,Godofredo Garcia,1
24266962,Cabo Blanco,5
24266974,Calle A,3
24266985,Aurelio Miro Quesada,6
24266986,Alberto del Campo,6
24267007,Alberto del Campo,6
24267010,Los Manzanos,8
24267013,Francisco Valle Riesta,6
24267015,Baltazar La Torre,4
24267018,Augusto Bolognesi,6
24267031,Avenida Salaverry,39
24267032,Avenida Salaverry,50
24267057,Las Moreras,4
24267058,Jose Granda,3
24267060,Juan Norberto Elespuru,5
24267068,Los Castaños,1
24267077,Los Eucaliptos,6
24267080,Los Eucaliptos,2
24267086,Avenidad Jorge Basadre,13
24267091,Camino Real,8
24267094,Nicolas de Rivera,7
24267116,Los Laureles,5
24267118,Los Nogales,7
24267123,Los Cedros,8
24267124,Los Robles,4
24267127,El Rosario,5
24267129,El Rosario,5
24267133,Los Alamos,3
24267137,Salamanca,2
24267146,Francisco de Zela,2
24267148,Santo Toribio,4
24267170,Santo Toribio,5
24281794,Merino,2
24281795,Garcia Y Garcia,4
24281798,El Bosque,6
24281799,Daniel Hernandez,4
24281800,Tradiciones,2
24281812,Manchay Puito,3
24281818,Luis Felipe Villaran,5
24281825,Luis Felipe Villaran,3
24281830,Rio de la Plata,6
24281836,Republica de Colombia,4
24281843,Republica de Colombia,3
24281844,Federico Villareal,8
24281850,Las Camelias,8
24281857,Sebastian Telleria,5
24281858,Chinchon,9
24281860,Antequera,3
24281862,Antequera,2
24281864,Miguel Seminario,4
24281865,Iquitos,21
24281867,Los Lirios,2
24281868,Amador Merino Reyna,5
24281869,De Las Casas,2
24281871,Virrey Toledo,4
24281887,La Perricholi,1
24281890,San Martin de Porres,10
24281895,Canaval y Moreyra,10
24281898,Ricardo Rivera Navarrete,14
24281900,Las Begonias,6
24281903,Chinchon,2
24281904,El Parque,2
24281906,Antequera,2
24294969,Canaval y Moreyra,11
24294980,Francisco Masias,8
24294983,Avenida Javier Prado Oeste,21
24294991,Javier Prado Este,2
24295062,AV. 2 de Mayo,18
24295065,Los Castaños,4
24295070,Roma,5
24295071,Barcelona,6
24295072,Los Laureles,3
24295073,Thomas Edison,4
24295075,Burgos,7
24295077,Guillermo Marconi,8
24295082,Luis Pasteur,3
24295084,Los Robles,1
24295085,Los Cedros,4
24295088,Manco Segundo,6
24295089,Juan Bielovicic,2
24295091,Almirante Manuel Villavicencio,9
24295096,Los Alamos,3
24295097,Tupac Amaru,2
24295099,Capac Yupanqui,1
24295104,Cadiz,5
24295136,Almirante Martin Guisse,16
24295137,Los Pinos,3
24295139,Jr. Mariscal William Miller,8
24295141,Los Olivos,1
24295142,Avenida Alvarez de Arenales,31
24295146,Jose de la Torre Ugarte,7
24295163,Los Jazmines,5
24295167,Los Geranios,4
24295168,Las Begonias,3
24295174,Los Mirtos,5
24295187,Domingo Casanova,5
24295188,Percy Gibson Moller,4
24295193,Ignacio Merino,1
24295204,Militar,10
24295214,Francisco Lazo,5
24295240,José Gálvez,21
24295244,Avenida Cuba,16
24295246,Tomás Guido,14
24295250,Mariscal Las Heras,6
24295252,Risso,8
24295254,Bernardo Alcedo,11
24295264,Av. Gral. César Canevaro,18
24295265,Jose Pardo de Zela,12
24305051,Las Orquideas,3
24305094,Jr. Emilio Althaus,11
24305223,General Córdoba,2
24305273,Joaquin Bernal,6
24305282,Jr. Gral. José Maria Cordova,3
24305286,Francisco de Zela,9
24305294,Jr. Garcillaso de la Vega,3
24305304,Jr. Jozé Pezet y Monel,5
24305315,Mama Ocllo,3
24305317,Sinchi Roca,5
24305329,Jr. Manco Segundo,1
24305339,Pachacutec,4
24305341,Sinchi Roca,2
24305342,Jr. Mama Ocllo,1
24305345,Jr. Brigadier Mateo Pumacahua,2
24305349,Pasaje Chasqui,2
24305355,Pasaje Chasqui,1
24305362,Pasaje Quilla,1
24305365,Jr. Cápac Yupanqui,8
24305370,Garcillaso de la Vega,5
24305379,Mariscal Miller,9
24305391,Avenida Edgardo Rebagliati,8
24305399,Domigo Cueto,5
24305428,Mexico,31
24305471,San Roberto,3
24306225,Jimenez,5
24306227,Punta Negra,4
24306245,Calle 4,1
24306246,Calle 3,1
24306247,Calle 2,1
24306256,Soria,1
24306267,Alberto Yabar,1
24306278,Felix Dibos,6
24306289,Juan Antonio Pezet,4
24306295,Malecon Bernales,2
24306300,Bernardo Monteagudo,6
24306309,Jose de Acosta,1
24306310,Leon de la Fuente,1
24306314,Jose de Acosta,1
24306322,Gregorio Escobedo,7
24306325,José G. Cossio,5
24306326,Juan de Aliaga,4
24306329,Carlos Baca Flor,1
24306331,Justo Amadeo Vigil,6
24306337,Trujillo,12
24306342,Miguel Soto Valle,7
24306346,Baca Flor,1
24306347,Monadante Augusto Jimenez,2
24306352,Nicanor Roca de Vergallo,9
24306361,Flora Tristan,8
24306365,Juan Nolberto Elespuru,4
24306381,Juan Manuel Polar,2
24306385,Juan Manuel Polar,2
24306424,Guardia Chalaca,1
24306464,Francisco Graña,6
24306466,Tomas Ramsey,11
24306492,Maria Parado de Bellido,2
24306499,Bonnemaison,5
24306502,Gonzales Prada,7
24306516,Antonio Raimondi,3
24306518,Malecon Miguel Grau,3
24306521,Victor Larco Herrera,13
24306524,Unanue,2
24306526,Lidio Mongilardi,1
24306538,Honorio Delgado,4
24306545,José María Eguren,2
24306553,Mariategui,2
24306554,Vallejo,2
24306555,Salazar Bondi,1
24306559,Domingo Ponte,8
24306561,Jirón Arica,6
24306573,Alonso Riquelme,10
24306580,Rodolfo Rutte,4
24306583,Jirón Rey Basadre,6
24306585,Jirón Daniel Carrión,5
24306590,Daniel Hernandez,8
24306591,Domingo Ponte,3
24306593,Rodolfo Rutte,5
24306606,Daniel Alcides Carrion,5
24306635,Víctor Larco Herrera,5
24306643,Gonzales Prada,7
24306644,Francisco Graña,3
24306648,Francisco Graña,2
24306662,Punta del Este,2
24306707,De la Policia,8
24306717,Caracas,4
24306737,Haiti,1
24306744,Santo Domingo,5
24306749,Maracaibo,1
24306755,Estados Unidos,1
24306756,Caribe,1
24306765,Diego de Almagro,13
24306768,Caracas,3
24306775,Estados Unidos,9
24306779,Araoz y Castilla,1
24306780,Los Patricios,2
24306789,Nicaragua,2
24306791,Costa Rica,2
24306795,Rio de Janeiro,8
24306827,Geronimo de Aliaga,2
24306842,Avenida Arnaldo Márquez,29
24306846,Pasaje Caracas,1
24306847,Quito,1
24306854,Caracas,2
24306855,Quito,2
24306856,Cochabamba,1
24306861,Santiago,2
24306907,Avenida General Garzon,23
24306946,San Felipe,17
24306957,Luis N. Saenz,5
24306960,Avenida Horacio Urteaga,22
24306971,Daniel Olaechea,3
24306975,Huascar,10
24306982,Giuseppe Garibaldi,3
24306989,Inca Ripac,2
24306995,Saenz,1
24306996,Huiracocha,16
24307018,Huamachuco,10
24307023,Octavio Bernal,3
24307035,Ca. Olavegoya,4
24307036,Ca. Olavegoya,5
24307044,Av. Cayetano Herida,2
24307048,Avenida Ricardo Tizon y Bueno,10
24307050,Huiracocha,1
24307071,Avenida Husares de Junin,17
24307103,Avenida Francisco Javier Mariátegui,20
24307144,Lloque Yupanqui,11
24307146,Mariscal Toribio Luzuriaga,8
24307155,Huascar,6
24307158,Diez Canseco,2
24307162,República Dominicana,5
24307193,Avenida Cuba,4
24307200,Avenida Cuba,4
